pk_cid,grupo,nombre_grupo
657817,0,Sin producto
657147,0,Sin producto
655419,0,Sin producto
656942,0,Sin producto
661894,0,Sin producto
662428,0,Sin producto
662794,0,Sin producto
662772,0,Sin producto
662366,0,Sin producto
659223,0,Sin producto
660913,0,Sin producto
660317,0,Sin producto
649733,0,Sin producto
648086,0,Sin producto
649276,0,Sin producto
651865,0,Sin producto
652709,0,Sin producto
673370,0,Sin producto
674239,0,Sin producto
671387,0,Sin producto
671107,0,Sin producto
672422,0,Sin producto
677813,0,Sin producto
677796,0,Sin producto
677280,0,Sin producto
677453,0,Sin producto
679237,0,Sin producto
679193,0,Sin producto
678706,0,Sin producto
676923,0,Sin producto
676170,0,Sin producto
676039,0,Sin producto
665457,0,Sin producto
664941,0,Sin producto
666253,0,Sin producto
665964,0,Sin producto
663346,0,Sin producto
670252,0,Sin producto
668458,0,Sin producto
667716,0,Sin producto
626641,0,Sin producto
626742,0,Sin producto
626534,0,Sin producto
626221,0,Sin producto
626276,0,Sin producto
627873,0,Sin producto
627202,0,Sin producto
627121,0,Sin producto
624237,0,Sin producto
629930,0,Sin producto
630167,0,Sin producto
631115,0,Sin producto
629789,0,Sin producto
618483,0,Sin producto
616300,0,Sin producto
622705,0,Sin producto
622669,0,Sin producto
622133,0,Sin producto
622130,0,Sin producto
623624,0,Sin producto
623894,0,Sin producto
623870,0,Sin producto
623409,0,Sin producto
620338,0,Sin producto
620448,0,Sin producto
620097,0,Sin producto
620004,0,Sin producto
621477,0,Sin producto
621840,0,Sin producto
643772,0,Sin producto
641082,0,Sin producto
640636,0,Sin producto
642038,0,Sin producto
641567,0,Sin producto
641577,0,Sin producto
641609,0,Sin producto
641693,0,Sin producto
646178,0,Sin producto
644925,0,Sin producto
644811,0,Sin producto
644589,0,Sin producto
645620,0,Sin producto
634774,0,Sin producto
633944,0,Sin producto
635155,0,Sin producto
635329,0,Sin producto
633546,0,Sin producto
632925,0,Sin producto
640178,0,Sin producto
636983,0,Sin producto
724516,0,Sin producto
725480,0,Sin producto
724678,0,Sin producto
722505,0,Sin producto
727878,0,Sin producto
727954,0,Sin producto
727759,0,Sin producto
726575,0,Sin producto
716631,0,Sin producto
713657,0,Sin producto
713083,0,Sin producto
715242,0,Sin producto
720234,0,Sin producto
720627,0,Sin producto
721252,0,Sin producto
740565,0,Sin producto
737869,0,Sin producto
739214,0,Sin producto
739211,0,Sin producto
743895,0,Sin producto
746053,0,Sin producto
742193,0,Sin producto
742605,0,Sin producto
741687,0,Sin producto
742129,0,Sin producto
743641,0,Sin producto
742896,0,Sin producto
742959,0,Sin producto
732315,0,Sin producto
733345,0,Sin producto
733012,0,Sin producto
730317,0,Sin producto
730735,0,Sin producto
737432,0,Sin producto
737036,0,Sin producto
736930,0,Sin producto
733813,0,Sin producto
734621,0,Sin producto
690701,0,Sin producto
691087,0,Sin producto
690909,0,Sin producto
690974,0,Sin producto
690959,0,Sin producto
690368,0,Sin producto
691934,0,Sin producto
691212,0,Sin producto
691196,0,Sin producto
689806,0,Sin producto
689440,0,Sin producto
694191,0,Sin producto
694102,0,Sin producto
694298,0,Sin producto
695702,0,Sin producto
695912,0,Sin producto
695773,0,Sin producto
695425,0,Sin producto
692109,0,Sin producto
692561,0,Sin producto
681974,0,Sin producto
683239,0,Sin producto
683611,0,Sin producto
683218,0,Sin producto
679541,0,Sin producto
681109,0,Sin producto
681506,0,Sin producto
680716,0,Sin producto
687720,0,Sin producto
687513,0,Sin producto
687336,0,Sin producto
684217,0,Sin producto
685338,0,Sin producto
685139,0,Sin producto
708360,0,Sin producto
708336,0,Sin producto
707700,0,Sin producto
704894,0,Sin producto
705304,0,Sin producto
711430,0,Sin producto
711403,0,Sin producto
711237,0,Sin producto
711591,0,Sin producto
711969,0,Sin producto
711952,0,Sin producto
710323,0,Sin producto
699441,0,Sin producto
699339,0,Sin producto
696895,0,Sin producto
697295,0,Sin producto
700542,0,Sin producto
700721,0,Sin producto
700746,0,Sin producto
520552,0,Sin producto
520208,0,Sin producto
521087,0,Sin producto
525304,0,Sin producto
524126,0,Sin producto
515162,0,Sin producto
514818,0,Sin producto
515929,0,Sin producto
515802,0,Sin producto
513450,0,Sin producto
513683,0,Sin producto
513596,0,Sin producto
514298,0,Sin producto
518169,0,Sin producto
518060,0,Sin producto
517542,0,Sin producto
538089,0,Sin producto
537644,0,Sin producto
535627,0,Sin producto
542323,0,Sin producto
541741,0,Sin producto
543662,0,Sin producto
539755,0,Sin producto
539540,0,Sin producto
539799,0,Sin producto
541074,0,Sin producto
530585,0,Sin producto
530138,0,Sin producto
527944,0,Sin producto
527860,0,Sin producto
528358,0,Sin producto
528322,0,Sin producto
528321,0,Sin producto
533776,0,Sin producto
533396,0,Sin producto
534806,0,Sin producto
535281,0,Sin producto
531732,0,Sin producto
530878,0,Sin producto
532579,0,Sin producto
494047,0,Sin producto
494214,0,Sin producto
493699,0,Sin producto
493636,0,Sin producto
491473,0,Sin producto
491418,0,Sin producto
491587,0,Sin producto
491266,0,Sin producto
492176,0,Sin producto
496743,0,Sin producto
497157,0,Sin producto
497009,0,Sin producto
496584,0,Sin producto
498128,0,Sin producto
494942,0,Sin producto
494864,0,Sin producto
495423,0,Sin producto
485387,0,Sin producto
485364,0,Sin producto
489799,0,Sin producto
490496,0,Sin producto
490857,0,Sin producto
487753,0,Sin producto
489079,0,Sin producto
488306,0,Sin producto
507664,0,Sin producto
505804,0,Sin producto
505788,0,Sin producto
506996,0,Sin producto
511654,0,Sin producto
511395,0,Sin producto
512429,0,Sin producto
512113,0,Sin producto
509355,0,Sin producto
510901,0,Sin producto
510409,0,Sin producto
500662,0,Sin producto
500333,0,Sin producto
501697,0,Sin producto
500978,0,Sin producto
499013,0,Sin producto
498169,0,Sin producto
503683,0,Sin producto
504035,0,Sin producto
503983,0,Sin producto
505078,0,Sin producto
504605,0,Sin producto
504632,0,Sin producto
505019,0,Sin producto
501882,0,Sin producto
502880,0,Sin producto
502946,0,Sin producto
594746,0,Sin producto
594252,0,Sin producto
594154,0,Sin producto
591506,0,Sin producto
591447,0,Sin producto
592692,0,Sin producto
597554,0,Sin producto
595272,0,Sin producto
595136,0,Sin producto
596474,0,Sin producto
586634,0,Sin producto
586822,0,Sin producto
586324,0,Sin producto
586206,0,Sin producto
583177,0,Sin producto
583174,0,Sin producto
583213,0,Sin producto
583277,0,Sin producto
582968,0,Sin producto
584346,0,Sin producto
589520,0,Sin producto
589364,0,Sin producto
589547,0,Sin producto
590552,0,Sin producto
590704,0,Sin producto
589836,0,Sin producto
587572,0,Sin producto
587452,0,Sin producto
587419,0,Sin producto
588526,0,Sin producto
588385,0,Sin producto
588316,0,Sin producto
609800,0,Sin producto
611096,0,Sin producto
610817,0,Sin producto
608008,0,Sin producto
607842,0,Sin producto
607240,0,Sin producto
607687,0,Sin producto
609367,0,Sin producto
609204,0,Sin producto
608508,0,Sin producto
614295,0,Sin producto
614292,0,Sin producto
614635,0,Sin producto
614657,0,Sin producto
614570,0,Sin producto
614119,0,Sin producto
615341,0,Sin producto
614826,0,Sin producto
613388,0,Sin producto
602147,0,Sin producto
601218,0,Sin producto
602148,0,Sin producto
602149,0,Sin producto
600053,0,Sin producto
600019,0,Sin producto
601112,0,Sin producto
600525,0,Sin producto
605755,0,Sin producto
605143,0,Sin producto
606799,0,Sin producto
607069,0,Sin producto
606186,0,Sin producto
604851,0,Sin producto
604423,0,Sin producto
604403,0,Sin producto
555865,0,Sin producto
555740,0,Sin producto
555332,0,Sin producto
555317,0,Sin producto
556233,0,Sin producto
557131,0,Sin producto
553148,0,Sin producto
553065,0,Sin producto
554688,0,Sin producto
554327,0,Sin producto
561321,0,Sin producto
558319,0,Sin producto
558593,0,Sin producto
557656,0,Sin producto
557589,0,Sin producto
546678,0,Sin producto
547047,0,Sin producto
546059,0,Sin producto
546275,0,Sin producto
547490,0,Sin producto
544777,0,Sin producto
544219,0,Sin producto
551290,0,Sin producto
551287,0,Sin producto
551285,0,Sin producto
551619,0,Sin producto
550742,0,Sin producto
550823,0,Sin producto
550786,0,Sin producto
550960,0,Sin producto
552140,0,Sin producto
548437,0,Sin producto
576897,0,Sin producto
576213,0,Sin producto
578055,0,Sin producto
578118,0,Sin producto
577631,0,Sin producto
577316,0,Sin producto
577475,0,Sin producto
574657,0,Sin producto
575673,0,Sin producto
575715,0,Sin producto
575191,0,Sin producto
575218,0,Sin producto
581324,0,Sin producto
580776,0,Sin producto
578326,0,Sin producto
579256,0,Sin producto
565364,0,Sin producto
565402,0,Sin producto
565459,0,Sin producto
570033,0,Sin producto
563036,0,Sin producto
563169,0,Sin producto
562536,0,Sin producto
573821,0,Sin producto
574136,0,Sin producto
572226,0,Sin producto
571677,0,Sin producto
918357,0,Sin producto
921960,0,Sin producto
914199,0,Sin producto
913737,0,Sin producto
914522,0,Sin producto
914517,0,Sin producto
914746,0,Sin producto
912282,0,Sin producto
911985,0,Sin producto
912216,0,Sin producto
913191,0,Sin producto
913155,0,Sin producto
912817,0,Sin producto
917600,0,Sin producto
917635,0,Sin producto
917112,0,Sin producto
917274,0,Sin producto
918052,0,Sin producto
918307,0,Sin producto
917783,0,Sin producto
915286,0,Sin producto
915191,0,Sin producto
915178,0,Sin producto
915466,0,Sin producto
916737,0,Sin producto
917004,0,Sin producto
916686,0,Sin producto
928683,0,Sin producto
931374,0,Sin producto
931294,0,Sin producto
930245,0,Sin producto
924925,0,Sin producto
925134,0,Sin producto
925714,0,Sin producto
893717,0,Sin producto
893369,0,Sin producto
893533,0,Sin producto
890992,0,Sin producto
892268,0,Sin producto
892336,0,Sin producto
891924,0,Sin producto
896378,0,Sin producto
896539,0,Sin producto
897155,0,Sin producto
894435,0,Sin producto
895165,0,Sin producto
886818,0,Sin producto
886182,0,Sin producto
884654,0,Sin producto
885397,0,Sin producto
885456,0,Sin producto
889889,0,Sin producto
889546,0,Sin producto
890548,0,Sin producto
890236,0,Sin producto
890129,0,Sin producto
890164,0,Sin producto
890290,0,Sin producto
887750,0,Sin producto
887717,0,Sin producto
888601,0,Sin producto
906643,0,Sin producto
907532,0,Sin producto
907202,0,Sin producto
904551,0,Sin producto
904518,0,Sin producto
905152,0,Sin producto
905522,0,Sin producto
911005,0,Sin producto
910408,0,Sin producto
911187,0,Sin producto
911389,0,Sin producto
911279,0,Sin producto
908668,0,Sin producto
900321,0,Sin producto
900305,0,Sin producto
900416,0,Sin producto
900405,0,Sin producto
899912,0,Sin producto
900056,0,Sin producto
900097,0,Sin producto
897600,0,Sin producto
898395,0,Sin producto
904016,0,Sin producto
903491,0,Sin producto
903443,0,Sin producto
902328,0,Sin producto
901163,0,Sin producto
901500,0,Sin producto
901481,0,Sin producto
954362,0,Sin producto
950083,0,Sin producto
953362,0,Sin producto
954087,0,Sin producto
953823,0,Sin producto
937567,0,Sin producto
937368,0,Sin producto
936172,0,Sin producto
940515,0,Sin producto
938623,0,Sin producto
938603,0,Sin producto
932332,0,Sin producto
935097,0,Sin producto
935120,0,Sin producto
935927,0,Sin producto
945465,0,Sin producto
945496,0,Sin producto
948980,0,Sin producto
949616,0,Sin producto
947611,0,Sin producto
941352,0,Sin producto
941879,0,Sin producto
944652,0,Sin producto
797291,0,Sin producto
797138,0,Sin producto
796754,0,Sin producto
794767,0,Sin producto
794757,0,Sin producto
800723,0,Sin producto
799848,0,Sin producto
801812,0,Sin producto
800940,0,Sin producto
801284,0,Sin producto
801269,0,Sin producto
798061,0,Sin producto
798320,0,Sin producto
797732,0,Sin producto
799112,0,Sin producto
798983,0,Sin producto
798825,0,Sin producto
798876,0,Sin producto
786451,0,Sin producto
786897,0,Sin producto
787694,0,Sin producto
787554,0,Sin producto
787542,0,Sin producto
786999,0,Sin producto
787249,0,Sin producto
783498,0,Sin producto
785459,0,Sin producto
785268,0,Sin producto
785704,0,Sin producto
785587,0,Sin producto
784846,0,Sin producto
784798,0,Sin producto
791014,0,Sin producto
792158,0,Sin producto
791656,0,Sin producto
790318,0,Sin producto
790053,0,Sin producto
812707,0,Sin producto
812680,0,Sin producto
812754,0,Sin producto
812441,0,Sin producto
814113,0,Sin producto
810916,0,Sin producto
810976,0,Sin producto
810797,0,Sin producto
811185,0,Sin producto
810437,0,Sin producto
810247,0,Sin producto
811950,0,Sin producto
811408,0,Sin producto
811483,0,Sin producto
817092,0,Sin producto
817058,0,Sin producto
817170,0,Sin producto
816428,0,Sin producto
816590,0,Sin producto
818136,0,Sin producto
815027,0,Sin producto
814857,0,Sin producto
816099,0,Sin producto
815389,0,Sin producto
815789,0,Sin producto
804656,0,Sin producto
804893,0,Sin producto
804930,0,Sin producto
804285,0,Sin producto
806038,0,Sin producto
802030,0,Sin producto
803534,0,Sin producto
803570,0,Sin producto
803988,0,Sin producto
803057,0,Sin producto
803477,0,Sin producto
808823,0,Sin producto
808479,0,Sin producto
809750,0,Sin producto
810189,0,Sin producto
809498,0,Sin producto
809517,0,Sin producto
806900,0,Sin producto
806823,0,Sin producto
807144,0,Sin producto
807089,0,Sin producto
806452,0,Sin producto
807973,0,Sin producto
758873,0,Sin producto
759882,0,Sin producto
759229,0,Sin producto
756399,0,Sin producto
757662,0,Sin producto
756772,0,Sin producto
763371,0,Sin producto
763841,0,Sin producto
764947,0,Sin producto
764159,0,Sin producto
764223,0,Sin producto
760801,0,Sin producto
761506,0,Sin producto
746725,0,Sin producto
747447,0,Sin producto
747441,0,Sin producto
747729,0,Sin producto
753246,0,Sin producto
752741,0,Sin producto
752740,0,Sin producto
754393,0,Sin producto
753746,0,Sin producto
777767,0,Sin producto
778237,0,Sin producto
778110,0,Sin producto
774779,0,Sin producto
774842,0,Sin producto
775248,0,Sin producto
775289,0,Sin producto
774379,0,Sin producto
775728,0,Sin producto
775413,0,Sin producto
775959,0,Sin producto
782167,0,Sin producto
782081,0,Sin producto
782719,0,Sin producto
778857,0,Sin producto
780852,0,Sin producto
780466,0,Sin producto
767926,0,Sin producto
769451,0,Sin producto
768389,0,Sin producto
765161,0,Sin producto
765102,0,Sin producto
773883,0,Sin producto
773939,0,Sin producto
770374,0,Sin producto
770274,0,Sin producto
770013,0,Sin producto
771859,0,Sin producto
771746,0,Sin producto
770997,0,Sin producto
866522,0,Sin producto
866499,0,Sin producto
866724,0,Sin producto
863972,0,Sin producto
864382,0,Sin producto
864432,0,Sin producto
864274,0,Sin producto
863432,0,Sin producto
863858,0,Sin producto
863815,0,Sin producto
863814,0,Sin producto
864627,0,Sin producto
864605,0,Sin producto
864690,0,Sin producto
870502,0,Sin producto
870520,0,Sin producto
869925,0,Sin producto
869786,0,Sin producto
868691,0,Sin producto
867853,0,Sin producto
867700,0,Sin producto
868232,0,Sin producto
869409,0,Sin producto
869574,0,Sin producto
869027,0,Sin producto
857407,0,Sin producto
856840,0,Sin producto
857117,0,Sin producto
858889,0,Sin producto
858940,0,Sin producto
855202,0,Sin producto
854994,0,Sin producto
855012,0,Sin producto
855039,0,Sin producto
854489,0,Sin producto
854913,0,Sin producto
856316,0,Sin producto
856132,0,Sin producto
856569,0,Sin producto
855728,0,Sin producto
855666,0,Sin producto
855910,0,Sin producto
861927,0,Sin producto
861370,0,Sin producto
861564,0,Sin producto
862406,0,Sin producto
862749,0,Sin producto
859715,0,Sin producto
859311,0,Sin producto
861188,0,Sin producto
860850,0,Sin producto
860425,0,Sin producto
860482,0,Sin producto
879866,0,Sin producto
879848,0,Sin producto
881187,0,Sin producto
878852,0,Sin producto
878455,0,Sin producto
878395,0,Sin producto
878555,0,Sin producto
879448,0,Sin producto
879395,0,Sin producto
879402,0,Sin producto
883474,0,Sin producto
883702,0,Sin producto
883051,0,Sin producto
884106,0,Sin producto
881949,0,Sin producto
881917,0,Sin producto
881747,0,Sin producto
881770,0,Sin producto
881647,0,Sin producto
874133,0,Sin producto
874181,0,Sin producto
874618,0,Sin producto
874824,0,Sin producto
874275,0,Sin producto
874554,0,Sin producto
872282,0,Sin producto
872533,0,Sin producto
871931,0,Sin producto
871956,0,Sin producto
873153,0,Sin producto
872985,0,Sin producto
877134,0,Sin producto
877100,0,Sin producto
876962,0,Sin producto
877952,0,Sin producto
877602,0,Sin producto
877865,0,Sin producto
877852,0,Sin producto
875038,0,Sin producto
875037,0,Sin producto
875034,0,Sin producto
875189,0,Sin producto
876368,0,Sin producto
876319,0,Sin producto
876468,0,Sin producto
829559,0,Sin producto
828928,0,Sin producto
830584,0,Sin producto
830458,0,Sin producto
827391,0,Sin producto
827590,0,Sin producto
826933,0,Sin producto
828301,0,Sin producto
828202,0,Sin producto
834073,0,Sin producto
834057,0,Sin producto
833932,0,Sin producto
833541,0,Sin producto
833793,0,Sin producto
835119,0,Sin producto
835331,0,Sin producto
834586,0,Sin producto
834472,0,Sin producto
832403,0,Sin producto
832563,0,Sin producto
821190,0,Sin producto
821237,0,Sin producto
822284,0,Sin producto
821890,0,Sin producto
820271,0,Sin producto
819621,0,Sin producto
819595,0,Sin producto
819782,0,Sin producto
819831,0,Sin producto
825259,0,Sin producto
823762,0,Sin producto
823568,0,Sin producto
824118,0,Sin producto
847704,0,Sin producto
847763,0,Sin producto
847761,0,Sin producto
849411,0,Sin producto
845700,0,Sin producto
846127,0,Sin producto
846359,0,Sin producto
852588,0,Sin producto
852844,0,Sin producto
852167,0,Sin producto
852294,0,Sin producto
854100,0,Sin producto
853348,0,Sin producto
853184,0,Sin producto
853512,0,Sin producto
850644,0,Sin producto
850600,0,Sin producto
850468,0,Sin producto
850040,0,Sin producto
851464,0,Sin producto
851301,0,Sin producto
838712,0,Sin producto
838685,0,Sin producto
838495,0,Sin producto
837541,0,Sin producto
838096,0,Sin producto
837795,0,Sin producto
838730,0,Sin producto
839372,0,Sin producto
839352,0,Sin producto
839784,0,Sin producto
839848,0,Sin producto
839690,0,Sin producto
838839,0,Sin producto
839063,0,Sin producto
843331,0,Sin producto
843409,0,Sin producto
843604,0,Sin producto
842707,0,Sin producto
842747,0,Sin producto
842636,0,Sin producto
843746,0,Sin producto
844079,0,Sin producto
844080,0,Sin producto
844144,0,Sin producto
844090,0,Sin producto
835504,0,Sin producto
840620,0,Sin producto
840903,0,Sin producto
839935,0,Sin producto
840308,0,Sin producto
841877,0,Sin producto
842154,0,Sin producto
842350,0,Sin producto
842309,0,Sin producto
842166,0,Sin producto
842257,0,Sin producto
841379,0,Sin producto
841115,0,Sin producto
169697,0,Sin producto
169206,0,Sin producto
170999,0,Sin producto
170303,0,Sin producto
170210,0,Sin producto
167902,0,Sin producto
168185,0,Sin producto
167633,0,Sin producto
169006,0,Sin producto
168399,0,Sin producto
173293,0,Sin producto
174476,0,Sin producto
174051,0,Sin producto
174245,0,Sin producto
172250,0,Sin producto
160634,0,Sin producto
161755,0,Sin producto
166258,0,Sin producto
165799,0,Sin producto
164634,0,Sin producto
184701,0,Sin producto
185118,0,Sin producto
186143,0,Sin producto
182868,0,Sin producto
188194,0,Sin producto
188471,0,Sin producto
188366,0,Sin producto
186637,0,Sin producto
186486,0,Sin producto
187201,0,Sin producto
187386,0,Sin producto
177276,0,Sin producto
176825,0,Sin producto
177650,0,Sin producto
175687,0,Sin producto
175514,0,Sin producto
174933,0,Sin producto
175020,0,Sin producto
175179,0,Sin producto
176479,0,Sin producto
181756,0,Sin producto
179009,0,Sin producto
178931,0,Sin producto
140103,0,Sin producto
141078,0,Sin producto
140985,0,Sin producto
138694,0,Sin producto
137962,0,Sin producto
139495,0,Sin producto
143423,0,Sin producto
143741,0,Sin producto
144911,0,Sin producto
145100,0,Sin producto
144621,0,Sin producto
144617,0,Sin producto
142092,0,Sin producto
142390,0,Sin producto
133561,0,Sin producto
133074,0,Sin producto
133235,0,Sin producto
131994,0,Sin producto
132591,0,Sin producto
132704,0,Sin producto
132399,0,Sin producto
136016,0,Sin producto
155089,0,Sin producto
154695,0,Sin producto
152844,0,Sin producto
154294,0,Sin producto
154399,0,Sin producto
153938,0,Sin producto
153966,0,Sin producto
158801,0,Sin producto
